,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
812,Keith McCarthy Academy,Lake Elsinore Unified,Riverside,48.0,0.0,,,,,,,2018-19,
813,Kelseyville High,Kelseyville Unified,Lake,124.0,18.0,19.0,19.0,19.0,18.0,7,38.89,2018-19,
814,Kerman High,Kerman Unified,Fresno,382.0,38.0,22.0,21.0,21.0,23.0,18,47.37,2018-19,
815,Kern Valley High,Kern High,Kern,113.0,20.0,22.0,21.0,21.0,22.0,13,65.00,2018-19,
816,Kern Workforce 2000 Academy,Kern High,Kern,257.0,0.0,,,,,,,2018-19,
817,Keyes to Learning Charter,Keyes Union,Stanislaus,25.0,2.0,,,,,*,*,2018-19,
818,King City High,South Monterey County Joint Union High,Monterey,221.0,35.0,19.0,19.0,18.0,19.0,9,25.71,2018-19,
819,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334.0,102.0,21.0,19.0,19.0,19.0,40,39.22,2018-19,
820,King-Chavez Community High,San Diego Unified,San Diego,87.0,17.0,16.0,13.0,16.0,15.0,0,0.00,2018-19,
821,Kings Valley Academy II,Kit Carson Union Elementary,Kings,75.0,0.0,,,,,,,2018-19,
822,Kingsburg High,Kingsburg Joint Union High,Fresno,246.0,41.0,23.0,21.0,22.0,21.0,26,63.41,2018-19,
823,Kingsburg Independent Study High,Kingsburg Joint Union High,Fresno,19.0,0.0,,,,,,,2018-19,
824,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144.0,108.0,21.0,21.0,22.0,21.0,58,53.70,2018-19,
825,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53.0,50.0,20.0,19.0,19.0,19.0,20,40.00,2018-19,
826,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,100.0,20.0,20.0,20.0,20.0,40,40.00,2018-19,
827,Konocti Education Center,Konocti Unified,Lake,22.0,2.0,,,,,*,*,2018-19,
828,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128.0,36.0,26.0,26.0,21.0,22.0,25,69.44,2018-19,
829,La Canada High,La Canada Unified,Los Angeles,346.0,138.0,29.0,29.0,29.0,28.0,130,94.20,2018-19,
830,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,248.0,25.0,26.0,25.0,25.0,207,83.47,2018-19,
831,La Entrada High,Placentia-Yorba Linda Unified,Orange,24.0,0.0,,,,,,,2018-19,
832,La Habra High,Fullerton Joint Union High,Orange,539.0,59.0,24.0,23.0,22.0,22.0,39,66.10,2018-19,
833,La Jolla High,San Diego Unified,San Diego,339.0,112.0,29.0,29.0,27.0,27.0,106,94.64,2018-19,
834,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468.0,42.0,24.0,23.0,21.0,21.0,29,69.05,2018-19,
835,La Puente High,Hacienda la Puente Unified,Los Angeles,254.0,41.0,22.0,20.0,21.0,20.0,25,60.98,2018-19,
836,La Quinta High,Garden Grove Unified,Orange,561.0,199.0,24.0,25.0,25.0,23.0,159,79.90,2018-19,
837,La Quinta High,Desert Sands Unified,Riverside,618.0,62.0,22.0,20.0,20.0,21.0,30,48.39,2018-19,
838,La Serna High,Whittier Union High,Los Angeles,609.0,70.0,23.0,22.0,23.0,22.0,49,70.00,2018-19,
839,La Sierra High,Alvord Unified,Riverside,418.0,61.0,18.0,18.0,19.0,19.0,15,24.59,2018-19,
840,La Sierra High,Tulare County Office of Education,Tulare,43.0,0.0,,,,,,,2018-19,
841,La Sierra High (Alternative),Fullerton Joint Union High,Orange,235.0,0.0,,,,,,,2018-19,
842,La Vista High (Continuation),Fullerton Joint Union High,Orange,224.0,1.0,,,,,*,*,2018-19,
843,Laguna Beach High,Laguna Beach Unified,Orange,294.0,165.0,26.0,27.0,26.0,26.0,149,90.30,2018-19,
844,Laguna Creek High,Elk Grove Unified,Sacramento,451.0,85.0,24.0,23.0,23.0,23.0,61,71.76,2018-19,
845,Laguna Hills High,Saddleback Valley Unified,Orange,374.0,66.0,26.0,26.0,25.0,24.0,54,81.82,2018-19,
846,Lake Balboa College Preparatory Magnet K-12,Los Angeles Unified,Los Angeles,26.0,0.0,,,,,,,2018-19,
847,Lakeside High,Lake Elsinore Unified,Riverside,387.0,92.0,19.0,18.0,19.0,19.0,30,32.61,2018-19,
848,Lakewood High,Long Beach Unified,Los Angeles,743.0,38.0,22.0,21.0,21.0,21.0,22,57.89,2018-19,
849,Lancaster High,Antelope Valley Union High,Los Angeles,575.0,45.0,21.0,21.0,19.0,20.0,19,42.22,2018-19,
850,Larchmont Charter,Los Angeles Unified,Los Angeles,112.0,0.0,,,,,,,2018-19,
851,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64.0,0.0,,,,,,,2018-19,
852,Las Lomas High,Acalanes Union High,Contra Costa,367.0,128.0,26.0,26.0,25.0,25.0,107,83.59,2018-19,
853,Las Plumas High,Oroville Union High,Butte,218.0,14.0,,,,,*,*,2018-19,
854,Lassen High,Lassen Union High,Lassen,188.0,27.0,22.0,21.0,21.0,21.0,15,55.56,2018-19,
855,Lathrop High,Manteca Unified,San Joaquin,321.0,32.0,21.0,21.0,21.0,21.0,17,53.13,2018-19,
856,Latino College Preparatory Academy,East Side Union High,Santa Clara,93.0,5.0,,,,,*,*,2018-19,
857,Laton High,Laton Joint Unified,Fresno,47.0,8.0,,,,,*,*,2018-19,
858,Lawndale High,Centinela Valley Union High,Los Angeles,553.0,28.0,18.0,17.0,17.0,18.0,5,17.86,2018-19,
859,Laytonville High,Laytonville Unified,Mendocino,27.0,1.0,,,,,*,*,2018-19,
860,Le Grand High,Le Grand Union High,Merced,95.0,33.0,17.0,15.0,17.0,17.0,4,12.12,2018-19,
861,Leadership High,San Francisco Unified,San Francisco,75.0,26.0,17.0,15.0,16.0,16.0,2,7.69,2018-19,
862,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,134.0,19.0,18.0,19.0,19.0,39,29.10,2018-19,
863,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149.0,148.0,17.0,15.0,17.0,16.0,18,12.16,2018-19,
864,Learning Choice Academy,San Diego Unified,San Diego,54.0,5.0,,,,,*,*,2018-19,
865,Learning Choice Academy - Chula Vista,Chula Vista Elementary,San Diego,43.0,0.0,,,,,,,2018-19,
866,Learning for Life Charter,Monterey Peninsula Unified,Monterey,40.0,0.0,,,,,,,2018-19,
867,Learning Post High (Alternative),William S. Hart Union High,Los Angeles,71.0,4.0,,,,,*,*,2018-19,
868,Learning Works,Pasadena Unified,Los Angeles,141.0,0.0,,,,,,,2018-19,
869,Leigh High,Campbell Union High,Santa Clara,415.0,133.0,28.0,28.0,28.0,27.0,120,90.23,2018-19,
870,Leland High,San Jose Unified,Santa Clara,454.0,164.0,29.0,30.0,29.0,28.0,148,90.24,2018-19,
871,Lemoore High,Lemoore Union High,Kings,410.0,81.0,20.0,19.0,19.0,19.0,28,34.57,2018-19,
872,Lemoore Middle College High,Lemoore Union High,Kings,59.0,3.0,,,,,*,*,2018-19,
873,Lennox Mathematics Science and Technology Academy,Lennox,Los Angeles,143.0,105.0,18.0,17.0,19.0,18.0,27,25.71,2018-19,
874,Leroy Greene Academy,Natomas Unified,Sacramento,67.0,69.0,17.0,16.0,17.0,17.0,9,13.04,2018-19,
875,Leuzinger High,Centinela Valley Union High,Los Angeles,415.0,33.0,18.0,17.0,17.0,17.0,4,12.12,2018-19,
876,Liberty High,Golden Valley Unified,Madera,138.0,17.0,23.0,24.0,22.0,22.0,12,70.59,2018-19,
877,Liberty High,Kern High,Kern,540.0,60.0,23.0,22.0,22.0,22.0,42,70.00,2018-19,
878,Liberty High,Liberty Union High,Contra Costa,610.0,82.0,24.0,22.0,22.0,22.0,55,67.07,2018-19,
879,Liberty High (Alternative),San Jose Unified,Santa Clara,190.0,0.0,,,,,,,2018-19,
880,Liberty Ranch High,Galt Joint Union High,Sacramento,315.0,32.0,23.0,23.0,22.0,22.0,23,71.88,2018-19,
881,LIFE Academy,Oakland Unified,Alameda,65.0,27.0,20.0,20.0,20.0,20.0,13,48.15,2018-19,
882,Lifeline Education Charter,Compton Unified,Los Angeles,59.0,36.0,16.0,14.0,16.0,15.0,4,11.11,2018-19,
883,Lighthouse Community Charter High,Oakland Unified,Alameda,64.0,0.0,,,,,,,2018-19,
884,Lincoln (Abraham) High,San Francisco Unified,San Francisco,519.0,112.0,22.0,21.0,22.0,21.0,64,57.14,2018-19,
885,Lincoln High,San Diego Unified,San Diego,364.0,81.0,18.0,17.0,18.0,18.0,13,16.05,2018-19,
886,Lincoln High,Western Placer Unified,Placer,414.0,57.0,24.0,23.0,22.0,23.0,38,66.67,2018-19,
887,Lincoln High,Lincoln Unified,San Joaquin,676.0,59.0,23.0,22.0,23.0,23.0,43,72.88,2018-19,
888,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Los Angeles Unified,Los Angeles,144.0,88.0,16.0,16.0,17.0,17.0,8,9.09,2018-19,
889,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141.0,37.0,18.0,18.0,18.0,18.0,10,27.03,2018-19,
890,Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,61.0,16.0,15.0,16.0,17.0,4,6.56,2018-19,
891,Linden High,Linden Unified,San Joaquin,151.0,33.0,22.0,21.0,20.0,21.0,13,39.39,2018-19,
892,Lindhurst High,Marysville Joint Unified,Yuba,214.0,19.0,22.0,18.0,20.0,20.0,8,42.11,2018-19,
893,Lindsay Senior High,Lindsay Unified,Tulare,250.0,9.0,,,,,*,*,2018-19,
894,Literacy First Charter,San Diego County Office of Education,San Diego,80.0,18.0,23.0,23.0,25.0,24.0,14,77.78,2018-19,
895,Littlerock High,Antelope Valley Union High,Los Angeles,336.0,25.0,16.0,15.0,16.0,16.0,2,8.00,2018-19,
896,Live Oak High,Live Oak Unified,Sutter,129.0,33.0,19.0,20.0,20.0,20.0,12,36.36,2018-19,
897,Live Oak High,Morgan Hill Unified,Santa Clara,261.0,32.0,23.0,22.0,22.0,21.0,20,62.50,2018-19,
898,Livermore High,Livermore Valley Joint Unified,Alameda,437.0,99.0,25.0,24.0,24.0,24.0,80,80.81,2018-19,
899,Livingston High,Merced Union High,Merced,291.0,51.0,20.0,18.0,19.0,20.0,17,33.33,2018-19,
900,Loara High,Anaheim Union High,Orange,482.0,53.0,18.0,18.0,18.0,19.0,13,24.53,2018-19,
901,Lodi High,Lodi Unified,San Joaquin,508.0,121.0,23.0,22.0,23.0,22.0,77,63.64,2018-19,
902,Lompoc High,Lompoc Unified,Santa Barbara,342.0,14.0,,,,,*,*,2018-19,
903,Lone Pine High,Lone Pine Unified,Inyo,16.0,1.0,,,,,*,*,2018-19,
904,Long Valley Charter - Susanville,Ravendale-Termo Elementary,Lassen,22.0,0.0,,,,,,,2018-19,
905,Los Alamitos High,Los Alamitos Unified,Orange,758.0,262.0,26.0,27.0,26.0,25.0,214,81.68,2018-19,
906,Los Altos High,Hacienda la Puente Unified,Los Angeles,411.0,30.0,21.0,21.0,21.0,22.0,18,60.00,2018-19,
907,Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,168.0,29.0,29.0,28.0,28.0,153,91.07,2018-19,
908,Los Amigos High,Garden Grove Unified,Orange,416.0,163.0,18.0,17.0,18.0,18.0,41,25.15,2018-19,
909,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47.0,11.0,,,,,*,*,2018-19,
910,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,61.0,27.0,28.0,28.0,27.0,56,91.80,2018-19,
911,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,108.0,17.0,22.0,22.0,18.0,20.0,10,58.82,2018-19,
912,Los Angeles International Charter High,Los Angeles County Office of Education,Los Angeles,51.0,2.0,,,,,*,*,2018-19,
913,Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,44.0,0.0,,,,,,,2018-19,
914,Los Angeles Senior High,Los Angeles Unified,Los Angeles,242.0,9.0,,,,,*,*,2018-19,
915,Los Banos High,Los Banos Unified,Merced,303.0,19.0,21.0,20.0,20.0,20.0,8,42.11,2018-19,
916,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,187.0,29.0,29.0,28.0,28.0,179,95.72,2018-19,
917,Los Molinos High,Los Molinos Unified,Tehama,37.0,38.0,17.0,15.0,17.0,17.0,9,23.68,2018-19,
918,Los Osos High,Chaffey Joint Union High,San Bernardino,763.0,149.0,24.0,24.0,25.0,24.0,106,71.14,2018-19,
919,Lowell High,San Francisco Unified,San Francisco,678.0,244.0,28.0,28.0,28.0,26.0,219,89.75,2018-19,
920,Lower Lake High,Konocti Unified,Lake,121.0,14.0,,,,,*,*,2018-19,
921,Loyalton High,Sierra-Plumas Joint Unified,Sierra,19.0,3.0,,,,,*,*,2018-19,
922,LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,99.0,15.0,13.0,16.0,16.0,4,4.04,2018-19,
923,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36.0,0.0,,,,,,,2018-19,
924,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102.0,22.0,17.0,15.0,16.0,15.0,2,9.09,2018-19,
925,Luther Burbank High,Sacramento City Unified,Sacramento,449.0,62.0,18.0,16.0,17.0,18.0,12,19.35,2018-19,
926,Lynbrook High,Fremont Union High,Santa Clara,415.0,172.0,32.0,32.0,32.0,31.0,165,95.93,2018-19,
927,Lynwood High,Lynwood Unified,Los Angeles,473.0,92.0,18.0,17.0,17.0,17.0,18,19.57,2018-19,
928,MAAC Community Charter,Sweetwater Union High,San Diego,153.0,0.0,,,,,,,2018-19,
929,Madera High,Madera Unified,Madera,467.0,128.0,20.0,19.0,19.0,20.0,47,36.72,2018-19,
930,Madera South High,Madera Unified,Madera,621.0,141.0,17.0,15.0,17.0,17.0,18,12.77,2018-19,
931,Madison High,San Diego Unified,San Diego,221.0,39.0,20.0,19.0,19.0,20.0,16,41.03,2018-19,
932,Madison Park Academy 6-12,Oakland Unified,Alameda,93.0,8.0,,,,,*,*,2018-19,
933,Magnolia High,Anaheim Union High,Orange,419.0,9.0,,,,,*,*,2018-19,
934,Magnolia Science Academy,Los Angeles County Office of Education,Los Angeles,69.0,0.0,,,,,,,2018-19,
935,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,13.0,,,,,*,*,2018-19,
936,Magnolia Science Academy 3,Los Angeles County Office of Education,Los Angeles,50.0,4.0,,,,,*,*,2018-19,
937,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43.0,4.0,,,,,*,*,2018-19,
938,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,34.0,3.0,,,,,*,*,2018-19,
939,Maidu Virtual Charter Academy,Placer Union High,Placer,33.0,0.0,,,,,,,2018-19,
940,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83.0,20.0,20.0,19.0,20.0,19.0,10,50.00,2018-19,
941,Malibu High,Santa Monica-Malibu Unified,Los Angeles,157.0,36.0,26.0,26.0,24.0,24.0,28,77.78,2018-19,
942,Mammoth High,Mammoth Unified,Mono,98.0,19.0,26.0,25.0,23.0,24.0,15,78.95,2018-19,
943,Manteca Community Day (7-12),Manteca Unified,San Joaquin,4.0,1.0,,,,,*,*,2018-19,
944,Manteca High,Manteca Unified,San Joaquin,372.0,16.0,23.0,23.0,22.0,22.0,9,56.25,2018-19,
945,Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,80.0,15.0,14.0,16.0,16.0,5,6.25,2018-19,
946,Mar Vista Senior High,Sweetwater Union High,San Diego,417.0,55.0,20.0,19.0,19.0,20.0,21,38.18,2018-19,
947,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,357.0,68.0,18.0,17.0,17.0,17.0,10,14.71,2018-19,
948,Maria Carrillo High,Santa Rosa High,Sonoma,352.0,81.0,29.0,28.0,27.0,27.0,76,93.83,2018-19,
949,Maricopa High,Maricopa Unified,Kern,22.0,0.0,,,,,,,2018-19,
950,Marina High,Monterey Peninsula Unified,Monterey,145.0,11.0,,,,,*,*,2018-19,
951,Marina High,Huntington Beach Union High,Orange,622.0,84.0,27.0,26.0,26.0,25.0,69,82.14,2018-19,
952,Mariposa County High,Mariposa County Unified,Mariposa,134.0,16.0,24.0,22.0,23.0,22.0,8,50.00,2018-19,
953,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,91.0,27.0,27.0,27.0,26.0,81,89.01,2018-19,
954,Marshall (Thurgood) High,San Francisco Unified,San Francisco,104.0,23.0,16.0,14.0,18.0,17.0,4,17.39,2018-19,
955,Marshall Fundamental,Pasadena Unified,Los Angeles,269.0,50.0,24.0,23.0,23.0,23.0,36,72.00,2018-19,
956,Martin Luther King Jr. High,Riverside Unified,Riverside,759.0,148.0,24.0,23.0,24.0,24.0,103,69.59,2018-19,
957,Marysville Charter Academy for the Arts,Marysville Joint Unified,Yuba,56.0,1.0,,,,,*,*,2018-19,
958,Marysville High,Marysville Joint Unified,Yuba,173.0,22.0,19.0,18.0,19.0,18.0,8,36.36,2018-19,
959,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155.0,148.0,16.0,16.0,18.0,17.0,28,18.92,2018-19,
960,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,Los Angeles,104.0,66.0,19.0,19.0,19.0,19.0,21,31.82,2018-19,
961,Matrix for Success Academy,Los Angeles Unified,Los Angeles,20.0,0.0,,,,,,,2018-19,
962,Matt Garcia Career and College Academy,Fairfield-Suisun Unified,Solano,7.0,1.0,,,,,*,*,2018-19,
963,Maxwell Sr High,Maxwell Unified,Colusa,29.0,0.0,,,,,,,2018-19,
964,Mayfair High,Bellflower Unified,Los Angeles,452.0,24.0,25.0,24.0,22.0,23.0,19,79.17,2018-19,
965,Maywood Academy High,Los Angeles Unified,Los Angeles,249.0,26.0,18.0,16.0,17.0,18.0,5,19.23,2018-19,
966,Maywood Center for Enriched Studies,Los Angeles Unified,Los Angeles,90.0,5.0,,,,,*,*,2018-19,
967,McClymonds High,Oakland Unified,Alameda,77.0,45.0,14.0,13.0,15.0,14.0,5,11.11,2018-19,
968,McFarland High,McFarland Unified,Kern,203.0,16.0,18.0,16.0,19.0,17.0,4,25.00,2018-19,
969,McKinleyville High,Northern Humboldt Union High,Humboldt,143.0,9.0,,,,,*,*,2018-19,
970,McLane High,Fresno Unified,Fresno,366.0,51.0,17.0,15.0,17.0,17.0,6,11.76,2018-19,
971,Mendocino High,Mendocino Unified,Mendocino,44.0,8.0,,,,,*,*,2018-19,
972,Mendota High,Mendota Unified,Fresno,223.0,82.0,16.0,15.0,17.0,16.0,7,8.54,2018-19,
973,Menlo-Atherton High,Sequoia Union High,San Mateo,644.0,133.0,28.0,27.0,27.0,26.0,107,80.45,2018-19,
974,Merced High,Merced Union High,Merced,400.0,52.0,20.0,19.0,20.0,20.0,22,42.31,2018-19,
975,Merced Scholars Charter,Merced County Office of Education,Merced,19.0,0.0,,,,,,,2018-19,
976,Merrill F. West High,Tracy Joint Unified,San Joaquin,481.0,65.0,20.0,19.0,19.0,20.0,20,30.77,2018-19,
977,Mesa Verde High,San Juan Unified,Sacramento,211.0,27.0,20.0,19.0,19.0,19.0,10,37.04,2018-19,
978,MethodSchools,Dehesa Elementary,San Diego,13.0,2.0,,,,,*,*,2018-19,
979,MetWest High,Oakland Unified,Alameda,37.0,0.0,,,,,,,2018-19,
980,Middle College High,West Contra Costa Unified,Contra Costa,72.0,21.0,22.0,20.0,20.0,20.0,11,52.38,2018-19,
981,Middle College High,Santa Ana Unified,Orange,86.0,79.0,19.0,17.0,19.0,19.0,19,24.05,2018-19,
982,Middle College High,Lodi Unified,San Joaquin,61.0,44.0,26.0,26.0,24.0,24.0,35,79.55,2018-19,
983,Middle College High,Los Angeles Unified,Los Angeles,88.0,26.0,19.0,19.0,19.0,18.0,8,30.77,2018-19,
984,Middle College High,San Bernardino City Unified,San Bernardino,67.0,47.0,20.0,19.0,20.0,20.0,17,36.17,2018-19,
985,Middle College High,San Jose Unified,Santa Clara,28.0,0.0,,,,,,,2018-19,
986,Middletown High,Middletown Unified,Lake,119.0,11.0,,,,,*,*,2018-19,
987,Millennium Charter,Tracy Joint Unified,San Joaquin,128.0,10.0,,,,,*,*,2018-19,
988,Millennium Charter High,Monterey County Office of Education,Monterey,32.0,1.0,,,,,*,*,2018-19,
989,Millennium High Alternative,Piedmont City Unified,Alameda,21.0,5.0,,,,,*,*,2018-19,
990,Millikan High,Long Beach Unified,Los Angeles,824.0,71.0,24.0,23.0,23.0,23.0,50,70.42,2018-19,
991,Mills High,San Mateo Union High,San Mateo,299.0,82.0,27.0,27.0,28.0,27.0,72,87.80,2018-19,
992,Milpitas High,Milpitas Unified,Santa Clara,762.0,72.0,26.0,27.0,27.0,26.0,64,88.89,2018-19,
993,Minarets Charter High,Chawanakee Unified,Madera,71.0,17.0,22.0,20.0,20.0,21.0,9,52.94,2018-19,
994,Minarets High,Chawanakee Unified,Madera,36.0,14.0,,,,,*,*,2018-19,
995,Mira Costa High,Manhattan Beach Unified,Los Angeles,594.0,269.0,28.0,28.0,27.0,27.0,245,91.08,2018-19,
996,Mira Loma High,San Juan Unified,Sacramento,454.0,71.0,29.0,30.0,29.0,28.0,65,91.55,2018-19,
997,Mira Mesa High,San Diego Unified,San Diego,620.0,65.0,23.0,22.0,23.0,22.0,40,61.54,2018-19,
998,Mira Monte High,Kern High,Kern,563.0,13.0,,,,,*,*,2018-19,
999,Miramonte High,Acalanes Union High,Contra Costa,319.0,149.0,29.0,29.0,28.0,28.0,137,91.95,2018-19,
1000,Mirus Secondary,Hesperia Unified,San Bernardino,81.0,0.0,,,,,,,2018-19,
1001,Mission Bay High,San Diego Unified,San Diego,226.0,51.0,22.0,21.0,21.0,21.0,25,49.02,2018-19,
1002,Mission Early College High,Santa Clara Unified,Santa Clara,36.0,2.0,,,,,*,*,2018-19,
1003,Mission High,San Francisco Unified,San Francisco,324.0,98.0,17.0,15.0,17.0,16.0,16,16.33,2018-19,
1004,Mission Hills High,San Marcos Unified,San Diego,584.0,178.0,23.0,21.0,21.0,22.0,93,52.25,2018-19,
1005,Mission Oak High,Tulare Joint Union High,Tulare,368.0,18.0,21.0,21.0,21.0,21.0,6,33.33,2018-19,
1006,Mission San Jose High,Fremont Unified,Alameda,490.0,157.0,31.0,32.0,32.0,30.0,151,96.18,2018-19,
1007,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,148.0,26.0,25.0,25.0,25.0,117,79.05,2018-19,
1008,Mission View Public,William S. Hart Union High,Los Angeles,50.0,0.0,,,,,,,2018-19,
1009,Mission Vista High,Vista Unified,San Diego,391.0,92.0,27.0,25.0,25.0,24.0,79,85.87,2018-19,
1010,MIT Academy,Vallejo City Unified,Solano,121.0,15.0,20.0,20.0,18.0,20.0,5,33.33,2018-19,
1011,Modesto High,Modesto City High,Stanislaus,585.0,163.0,20.0,19.0,20.0,19.0,61,37.42,2018-19,
1012,Modoc High,Modoc Joint Unified,Modoc,55.0,40.0,17.0,15.0,17.0,18.0,10,25.00,2018-19,
1013,Mojave High,Hesperia Unified,San Bernardino,149.0,1.0,,,,,*,*,2018-19,
1014,Mojave Jr./Sr. High,Mojave Unified,Kern,36.0,27.0,16.0,13.0,16.0,16.0,2,7.41,2018-19,
1015,Mojave River Academy - Gold Canyon,Oro Grande,San Bernardino,27.0,0.0,,,,,,,2018-19,
1016,Mojave River Academy - Marble City,Oro Grande,San Bernardino,24.0,0.0,,,,,,,2018-19,
1017,Mojave River Academy - National Trails,Oro Grande,San Bernardino,92.0,0.0,,,,,,,2018-19,
1018,Mojave River Academy - Oro Grande,Oro Grande,San Bernardino,160.0,0.0,,,,,,,2018-19,
1019,Mojave River Academy - Rockview Park,Oro Grande,San Bernardino,23.0,0.0,,,,,,,2018-19,
1020,Mojave River Academy - Route 66,Oro Grande,San Bernardino,111.0,0.0,,,,,,,2018-19,
1021,Mojave River Academy - Silver Mountain,Oro Grande,San Bernardino,86.0,0.0,,,,,,,2018-19,
1022,Monache High,Porterville Unified,Tulare,464.0,105.0,19.0,17.0,18.0,19.0,30,28.57,2018-19,
1023,Monarch,San Diego County Office of Education,San Diego,22.0,1.0,,,,,*,*,2018-19,
1024,Monrovia High,Monrovia Unified,Los Angeles,393.0,53.0,21.0,19.0,19.0,19.0,16,30.19,2018-19,
1025,Monta Vista High,Fremont Union High,Santa Clara,584.0,212.0,31.0,32.0,32.0,31.0,206,97.17,2018-19,
1026,Montclair High,Chaffey Joint Union High,San Bernardino,705.0,257.0,19.0,17.0,19.0,19.0,80,31.13,2018-19,
1027,Monte Vista,Simi Valley Unified,Ventura,73.0,3.0,,,,,*,*,2018-19,
1028,Monte Vista High,Grossmont Union High,San Diego,456.0,22.0,26.0,24.0,25.0,24.0,15,68.18,2018-19,
1029,Monte Vista High,Newport-Mesa Unified,Orange,35.0,1.0,,,,,*,*,2018-19,
1030,Monte Vista High,San Ramon Valley Unified,Contra Costa,597.0,293.0,27.0,27.0,26.0,26.0,263,89.76,2018-19,
